T1;T2
1.00743;1.00299
1.00745;1.00299
1.00747;1.00299
1.00748;1.00299
1.0075;1.00299
1.00751;1.00299
1.00753;1.00299
1.00754;1.00299
1.00755;1.00299
1.00757;1.00299
1.00758;1.00299
1.00759;1.00299
1.0076;1.00299
1.00761;1.00299
1.00762;1.00299
1.00763;1.00299
1.00763;1.00299
1.00764;1.00299
1.00765;1.00299
1.00766;1.00299
1.00766;1.00299
1.00767;1.00299
1.00768;1.00299
1.00768;1.00299
1.00769;1.00299
1.00769;1.00299
1.0077;1.00299
1.0077;1.00299
1.0077;1.00299
1.00771;1.00299
1.00771;1.00299
1.00772;1.00299
1.00772;1.00299
1.00772;1.00299
1.00773;1.00299
1.00773;1.00299
1.00773;1.00299
1.00773;1.00299
1.00774;1.00299
1.00774;1.00299
1.00774;1.00299
1.00774;1.00299
1.00774;1.00299
1.00775;1.00299
1.00775;1.00299
1.00775;1.00299
1.00775;1.00299
1.00775;1.00299
1.00775;1.00299
1.00775;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00776;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
1.00777;1.00299
