P;PID;FLC;FLC3
0.840972;1.00479;1.00027;0.998224
0.8424;1.00499;1.00095;0.997803
0.844105;1.00519;1.00161;0.997437
0.846075;1.00539;1.00223;0.997126
0.8483;1.00558;1.0028;0.996871
0.850771;1.00578;1.00331;0.99667
0.853475;1.00596;1.00376;0.996522
0.856404;1.00615;1.00412;0.996423
0.859545;1.00632;1.0044;0.99637
0.862887;1.00649;1.0046;0.99636
0.866419;1.00666;1.00471;0.99639
0.870129;1.00681;1.00473;0.996459
0.874007;1.00696;1.00466;0.996564
0.87804;1.00711;1.00451;0.996702
0.882216;1.00724;1.00429;0.996871
0.886525;1.00738;1.004;0.997066
0.890955;1.0075;1.00365;0.997286
0.895494;1.00762;1.00325;0.997525
0.90013;1.00773;1.00283;0.99778
0.904852;1.00784;1.00239;0.998046
0.90965;1.00794;1.00194;0.998321
0.914511;1.00803;1.0015;0.998599
0.919424;1.00813;1.00107;0.998877
0.92438;1.00821;1.00067;0.999151
0.929366;1.0083;1.0003;0.999419
0.934373;1.00838;0.999972;0.999676
0.93939;1.00846;0.999684;0.999919
0.944407;1.00853;0.999441;1.00015
0.949415;1.00861;0.999245;1.00036
0.954403;1.00868;0.999096;1.00055
0.959362;1.00875;0.998995;1.00071
0.964284;1.00882;0.99894;1.00086
0.969159;1.00888;0.998928;1.00098
0.973979;1.00895;0.998959;1.00109
0.978736;1.00901;0.999027;1.00116
0.983422;1.00908;0.999129;1.00122
0.98803;1.00914;0.999261;1.00126
0.992552;1.00921;0.999418;1.00128
0.996981;1.00927;0.999595;1.00128
1.00131;1.00934;0.999786;1.00127
1.00554;1.0094;0.999986;1.00124
1.00965;1.00946;1.00019;1.0012
1.01365;1.00952;1.00039;1.00115
1.01752;1.00959;1.00059;1.00108
1.02127;1.00965;1.00077;1.00101
1.02489;1.00971;1.00095;1.00093
1.02838;1.00977;1.0011;1.00083
1.03173;1.00983;1.00123;1.00074
1.03493;1.00989;1.00134;1.00064
1.03799;1.00995;1.00142;1.00053
1.0409;1.01;1.00148;1.00043
