Date,Open,High,Low,Close,Adj Close,Volume
2015-08-21,45.610001,47.5,44.18,46.950001,46.950001,1155360
2015-08-24,44,45,42.5,44.139999,44.139999,1423425
2015-08-25,43.599998,46.810001,43.490002,45.139999,45.139999,849861
2015-08-26,44.709999,48.080002,43.889999,46.240002,46.240002,1065551
2015-08-27,47.82,47.82,46,46.459999,46.459999,716405
2015-08-28,47.049999,47.27,45,47,47,573502
2015-08-31,47,47,46,46.639999,46.639999,522370
2015-09-01,46,46.07,43.950001,45.09,45.09,689823
2015-09-02,45.07,46.029999,44.509998,45,45,551239
2015-09-03,45.209999,46.849998,45.209999,46.580002,46.580002,810983
2015-09-04,46.16,46.369999,45.099998,45.110001,45.110001,403459
2015-09-07,45.310001,45.5,43.869999,44.139999,44.139999,456843
2015-09-08,44.34,46.5,44.060001,46.48,46.48,875448
2015-09-09,47.48,47.610001,46.200001,47.299999,47.299999,513191
2015-09-10,46.860001,46.860001,45.299999,45.560001,45.560001,404632
2015-09-11,45.75,46.169998,44.27,44.59,44.59,513431
2015-09-14,44.099998,44.549999,41.5,41.889999,41.889999,610585
2015-09-15,38,40.799999,38,40.57,40.57,1893936
2015-09-16,40.330002,40.330002,36.529999,37.009998,37.009998,2866702
2015-09-17,37.029999,38.43,36.799999,38.200001,38.200001,1383090
2015-09-18,38.200001,38.259998,36.91,37.639999,37.639999,1063296
2015-09-21,38.959999,39.470001,37.700001,39.27,39.27,1262800
2015-09-22,39.700001,39.740002,38.5,39,39,1228995
2015-09-23,39.009998,41.07,38.599998,40.290001,40.290001,1247651
2015-09-24,40.639999,40.779999,39.25,39.639999,39.639999,775907
2015-09-25,40.259998,41.580002,39.810001,41.5,41.5,808977
2015-09-28,41.599998,42.290001,40.630001,41.18,41.18,645351
2015-09-29,40.560001,41.099998,39.689999,40.459999,40.459999,707710
2015-09-30,41.639999,41.900002,40.200001,41.75,41.75,595949
2015-10-01,42,42.099998,40.799999,41.169998,41.169998,699942
2015-10-02,41.470001,42.169998,41.27,42,42,523863
2015-10-05,42.220001,42.77,41.900002,42.290001,42.290001,491402
2015-10-06,42.279999,42.279999,40.849998,41.689999,41.689999,659305
2015-10-07,42.169998,43.290001,41.349998,43,43,655127
2015-10-08,42.990002,43.040001,42.029999,42.330002,42.330002,705644
2015-10-09,43.200001,43.200001,41,41.099998,41.099998,737633
2015-10-12,41.139999,41.209999,40.599998,40.700001,40.700001,612139
